shuffle	jackknife	query	pid	spec	called_spec	method	call_made	call	snn	methshuf
jk7	k8_as_query	Q84BQ4_A2-8-_ser	93.32	ser	ser	prediCAT	Y	Y	2.4336569468531732	prediCAT_jk7
jk7	k8_as_query	Q84BQ4_A2-8-_ser	93.32	ser	ser	forced_prediCAT	Y	Y	2.4336569468531732	forced_prediCAT_jk7
jk7	k8_as_query	BGC0000425_AFH75320-1_4799_mod5_d-val	96.19	d-val	no_confident_result	prediCAT	N	N	3.3429171829453077	prediCAT_jk7
jk7	k8_as_query	BGC0000425_AFH75320-1_4799_mod5_d-val	96.19	d-val	d-val	forced_prediCAT	Y	Y	3.3429171829453077	forced_prediCAT_jk7
jk7	k8_as_query	BGC0000439_AHH53507-1_4147_mod4_asp	100.00	asp	asp	prediCAT	Y	Y	0.9551766813800019	prediCAT_jk7
jk7	k8_as_query	BGC0000439_AHH53507-1_4147_mod4_asp	100.00	asp	asp	forced_prediCAT	Y	Y	0.9551766813800019	forced_prediCAT_jk7
jk7	k8_as_query	simA_mod4_val	54.78	val	no_confident_result	prediCAT	N	N	0.0	prediCAT_jk7
jk7	k8_as_query	simA_mod4_val	54.78	val	d-ala	forced_prediCAT	Y	N	0.0	forced_prediCAT_jk7
jk7	k8_as_query	AHH53508-1_1559_mod2_kyn	54.22	kyn	no_confident_result	prediCAT	N	N	0.0	prediCAT_jk7
jk7	k8_as_query	AHH53508-1_1559_mod2_kyn	54.22	kyn	trp	forced_prediCAT	Y	N	0.0	forced_prediCAT_jk7
jk7	k8_as_query	Q9Z4X5_A3_asn	100.00	asn	no_confident_result	prediCAT	N	N	0.7698735691288616	prediCAT_jk7
jk7	k8_as_query	Q9Z4X5_A3_asn	100.00	asn	asn	forced_prediCAT	Y	Y	0.7698735691288616	forced_prediCAT_jk7
jk7	k8_as_query	CCJ67638-1_1653_mod2_d-val	95.80	d-val	no_confident_result	prediCAT	N	N	0.0	prediCAT_jk7
jk7	k8_as_query	CCJ67638-1_1653_mod2_d-val	95.80	d-val	no_confident_result	forced_prediCAT	N	N	0.0	forced_prediCAT_jk7
jk7	k8_as_query	O05647_A2_phe	61.31	phe	no_confident_result	prediCAT	N	N	0.0	prediCAT_jk7
jk7	k8_as_query	O05647_A2_phe	61.31	phe	no_confident_result	forced_prediCAT	N	N	0.0	forced_prediCAT_jk7
jk7	k8_as_query	Q70LM5_A4-10-_leu	72.15	leu	no_confident_result	prediCAT	N	N	0.0	prediCAT_jk7
jk7	k8_as_query	Q70LM5_A4-10-_leu	72.15	leu	no_confident_result	forced_prediCAT	N	N	0.0	forced_prediCAT_jk7
jk7	k8_as_query	Q5DIV7_A2_arg	49.05	arg	no_confident_result	prediCAT	N	N	0.0	prediCAT_jk7
jk7	k8_as_query	Q5DIV7_A2_arg	49.05	arg	horn	forced_prediCAT	Y	N	0.0	forced_prediCAT_jk7
jk7	k8_as_query	AHF21229-1_1387_mod3_ala	100.00	ala	no_confident_result	prediCAT	N	N	0.8114341397746884	prediCAT_jk7
jk7	k8_as_query	AHF21229-1_1387_mod3_ala	100.00	ala	ile	forced_prediCAT	Y	N	0.8114341397746884	forced_prediCAT_jk7
jk7	k8_as_query	Q9K5L9_A1-7-_ile	77.03	ile	no_confident_result	prediCAT	N	N	0.33163475450062896	prediCAT_jk7
jk7	k8_as_query	Q9K5L9_A1-7-_ile	77.03	ile	ile	forced_prediCAT	Y	Y	0.33163475450062896	forced_prediCAT_jk7
jk7	k8_as_query	Q8KLL5_A3-6-_bht	100.00	bht	bht	prediCAT	Y	Y	2.7494858286871042	prediCAT_jk7
jk7	k8_as_query	Q8KLL5_A3-6-_bht	100.00	bht	bht	forced_prediCAT	Y	Y	2.7494858286871042	forced_prediCAT_jk7
jk7	k8_as_query	Q8NJX1_A5_abu|iva	58.78	abu|iva	no_confident_result	prediCAT	N	N	0.0	prediCAT_jk7
jk7	k8_as_query	Q8NJX1_A5_abu|iva	58.78	abu|iva	no_confident_result	forced_prediCAT	N	N	0.0	forced_prediCAT_jk7
jk7	k8_as_query	Q9Z4X6_A6_hpg|hpg2cl	55.47	hpg|hpg2cl	no_confident_result	prediCAT	N	N	0.0	prediCAT_jk7
jk7	k8_as_query	Q9Z4X6_A6_hpg|hpg2cl	55.47	hpg|hpg2cl	hpg	forced_prediCAT	Y	Y	0.0	forced_prediCAT_jk7
jk7	k8_as_query	BGC0000398_AFH75329-1_3793_mod4_ser	89.34	ser	ser	prediCAT	Y	Y	1.606030556622669	prediCAT_jk7
jk7	k8_as_query	BGC0000398_AFH75329-1_3793_mod4_ser	89.34	ser	ser	forced_prediCAT	Y	Y	1.606030556622669	forced_prediCAT_jk7
jk7	k8_as_query	O68007_A1-6-_lys	50.00	lys	no_confident_result	prediCAT	N	N	0.0	prediCAT_jk7
jk7	k8_as_query	O68007_A1-6-_lys	50.00	lys	orn	forced_prediCAT	Y	N	0.0	forced_prediCAT_jk7
jk7	k8_as_query	CCJ67640-1_1654_mod2_d-athr	94.78	d-athr	no_confident_result	prediCAT	N	N	5.255174237089753	prediCAT_jk7
jk7	k8_as_query	CCJ67640-1_1654_mod2_d-athr	94.78	d-athr	dhabu	forced_prediCAT	Y	N	5.255174237089753	forced_prediCAT_jk7
jk7	k8_as_query	EPE34341-1_1766_mod2_thr	100.00	thr	no_confident_result	prediCAT	N	N	0.7207993627548702	prediCAT_jk7
jk7	k8_as_query	EPE34341-1_1766_mod2_thr	100.00	thr	3oh-gln	forced_prediCAT	Y	N	0.7207993627548702	forced_prediCAT_jk7
jk7	k8_as_query	Q9F636_A1_lys	43.41	lys	no_confident_result	prediCAT	N	N	0.0	prediCAT_jk7
jk7	k8_as_query	Q9F636_A1_lys	43.41	lys	blys	forced_prediCAT	Y	N	0.0	forced_prediCAT_jk7
jk7	k8_as_query	BGC0000419_AIG79240-1_481_mod1_dpg	98.57	dpg	dpg	prediCAT	Y	Y	4.382533614081679	prediCAT_jk7
jk7	k8_as_query	BGC0000419_AIG79240-1_481_mod1_dpg	98.57	dpg	dpg	forced_prediCAT	Y	Y	4.382533614081679	forced_prediCAT_jk7
jk7	k8_as_query	EFE73312-1_441_mod1_asp	60.28	asp	no_confident_result	prediCAT	N	N	0.0	prediCAT_jk7
jk7	k8_as_query	EFE73312-1_441_mod1_asp	60.28	asp	asp	forced_prediCAT	Y	Y	0.0	forced_prediCAT_jk7
jk7	k8_as_query	Q09164_A9_val	64.52	val	no_confident_result	prediCAT	N	N	0.03195209367708749	prediCAT_jk7
jk7	k8_as_query	Q09164_A9_val	64.52	val	val	forced_prediCAT	Y	Y	0.03195209367708749	forced_prediCAT_jk7
jk7	k8_as_query	Q93N87_A3_tyr	100.00	tyr	no_confident_result	prediCAT	N	N	0.8874875618272371	prediCAT_jk7
jk7	k8_as_query	Q93N87_A3_tyr	100.00	tyr	tyr	forced_prediCAT	Y	Y	0.8874875618272371	forced_prediCAT_jk7
jk7	k8_as_query	BGC0000974_AIR74925-1_516_mod1_gly	46.77	gly	gly	prediCAT	Y	Y	0.0	prediCAT_jk7
jk7	k8_as_query	BGC0000974_AIR74925-1_516_mod1_gly	46.77	gly	gly	forced_prediCAT	Y	Y	0.0	forced_prediCAT_jk7
jk7	k8_as_query	AGC65516-1_1081_mod1_val	47.33	val	val	prediCAT	Y	Y	0.0	prediCAT_jk7
jk7	k8_as_query	AGC65516-1_1081_mod1_val	47.33	val	val	forced_prediCAT	Y	Y	0.0	forced_prediCAT_jk7
jk7	k8_as_query	Q56950b_A1_dhb|sal	100.00	dhb|sal	dhb|sal	prediCAT	Y	Y	0.8599962011702791	prediCAT_jk7
jk7	k8_as_query	Q56950b_A1_dhb|sal	100.00	dhb|sal	dhb|sal	forced_prediCAT	Y	Y	0.8599962011702791	forced_prediCAT_jk7
jk7	k8_as_query	BGC0001133_XBJ1_0774_563_mod1_leu	95.95	leu	no_confident_result	prediCAT	N	N	1.2426208502704954	prediCAT_jk7
jk7	k8_as_query	BGC0001133_XBJ1_0774_563_mod1_leu	95.95	leu	leu	forced_prediCAT	Y	Y	1.2426208502704954	forced_prediCAT_jk7
jk7	k8_as_query	O68006_A3_leu	51.30	leu	no_confident_result	prediCAT	N	N	0.0	prediCAT_jk7
jk7	k8_as_query	O68006_A3_leu	51.30	leu	leu	forced_prediCAT	Y	Y	0.0	forced_prediCAT_jk7
jk7	k8_as_query	BGC0000431_EFE73312-1_441_mod1_thr	60.28	thr	no_confident_result	prediCAT	N	N	0.0	prediCAT_jk7
jk7	k8_as_query	BGC0000431_EFE73312-1_441_mod1_thr	60.28	thr	asp	forced_prediCAT	Y	N	0.0	forced_prediCAT_jk7
jk7	k8_as_query	BGC0000400_AGM16414-1_2358_mod3_ile	100.00	ile	ile	prediCAT	Y	Y	1.8206640114786257	prediCAT_jk7
jk7	k8_as_query	BGC0000400_AGM16414-1_2358_mod3_ile	100.00	ile	ile	forced_prediCAT	Y	Y	1.8206640114786257	forced_prediCAT_jk7
jk7	k8_as_query	AFZ61501-1_498_mod1_leu	77.31	leu	no_confident_result	prediCAT	N	N	0.0	prediCAT_jk7
jk7	k8_as_query	AFZ61501-1_498_mod1_leu	77.31	leu	no_confident_result	forced_prediCAT	N	N	0.0	forced_prediCAT_jk7
jk7	k8_as_query	Q9RLP6/5869932_A1_phe	100.00	phe	no_confident_result	prediCAT	N	N	1.20663518657473	prediCAT_jk7
jk7	k8_as_query	Q9RLP6/5869932_A1_phe	100.00	phe	phe	forced_prediCAT	Y	Y	1.20663518657473	forced_prediCAT_jk7
jk7	k8_as_query	Q93N87_A2-5-_hpg|hpg2cl	81.89	hpg|hpg2cl	no_confident_result	prediCAT	N	N	2.5846682825952847	prediCAT_jk7
